StartDate,leeftijd,geslacht,aantalcrisisdagen,aantalcrisisweken,AutonomieSatisfactie,AutonomieFrustratie,CompetentieSatisfactie,CompetentieFrustratie,VerbondenheidSatisfactie,VerbondenheidFrustratie,autonomie_relatievescore,competentie_relatievescore,verbondenheid_relatievescore,vrijwillige_motivatie,externe_motivatie
3/19/2020,30,2,0,1,3.75,2.25,3,3.5,5,1.25,2,-1,3.5,5,1.66666666666667
3/19/2020,30,2,0,1,4,1.75,3.5,1.5,4.75,1.25,2,3,4,5,1
3/19/2020,30,2,0,1,3.5,2,4.25,2,5,2,1.5,2.5,3,4,2.33333333333333
3/19/2020,37,2,0,1,2.5,2,3.25,2.25,3.75,1.75,0,1.5,1,4.75,2
3/19/2020,19,2,0,1,3,4.25,3.25,3,3,1.75,-1,0,1,3.5,3.33333333333333
3/19/2020,27,2,0,1,3.25,3.25,2.5,3.5,4.25,2,-.5,-1,2,4.5,3.33333333333333
3/19/2020,29,2,0,1,3.5,2.75,3.5,2.25,3.5,2,1,1,1.5,4.5,2
3/19/2020,25,2,0,1,2.5,2.75,2.25,3.75,4,2.75,-.5,-1,1,3.5,1
3/19/2020,33,1,0,1,2.25,4.75,3,3.5,4.25,2.25,-2.5,-.5,2,5,3
3/19/2020,27,2,0,1,3.25,1.75,4,1.75,3.75,1.5,1.5,2,2.5,5,1.66666666666667
3/19/2020,26,2,0,1,3,1.25,3,1,4,1,1.5,3,3,4,1
3/19/2020,21,2,0,1,4.25,2.75,3.25,2,4,2.75,1.5,2,2,4,3
3/19/2020,68,1,0,1,3.75,2.25,3.75,1.25,5,1,1,3.5,4,4,3.33333333333333
3/19/2020,22,2,0,1,3,2.75,2.75,3,4,2.75,0,.5,1,4,2.66666666666667
3/19/2020,26,2,0,1,3.5,2,3.5,2.25,3,2.5,1.5,1,0,5,2
3/19/2020,23,2,0,1,1,3.75,2.75,2,1.5,2.5,-3,0,-2,3,4.33333333333333
3/19/2020,29,2,0,1,3.5,2.75,2.75,3.25,5,1,.5,-.5,4,4.75,3
3/19/2020,23,2,0,1,3,2.25,3,2.75,2,2.75,1,0,-.5,4,2.33333333333333
